seed,familiarity_mean_degree,social_tie_mean_degree,familiarity_largest_connected_component,social_tie_largest_connected_component,generated_mean_annual_ride_rate,implied_population,simulation_scale,seat_occupancy_rate,avg_attendance_per_week,total_unmet_demand,pair_count,familiarity_pair_count,social_tie_pair_count,total_coordinated_bookings,runtime_seconds
6400,2.3448275862068964,1.278688524590164,60.0,7.0,11.528289734399086,288332.0,0.034682241305162106,0.6913690189660152,2209.6153846153848,8.0,40885.0,612.0,39.0,369.0,27.751084874849766
6401,2.2634730538922154,1.4,50.0,6.0,11.420363062657428,291057.0,0.03435753134265797,0.6902498315201694,2206.0384615384614,31.0,40869.0,567.0,28.0,315.0,27.23921262496151
6402,2.3393213572854292,1.509433962264151,78.0,9.0,11.615020358134128,286179.0,0.03494316494222148,0.6960563685375951,2224.596153846154,1.0,41497.0,586.0,40.0,385.0,27.36730004195124
6403,2.4956521739130433,1.6666666666666667,39.0,6.0,11.609838257535472,286307.0,0.034927542812435604,0.6985655145855396,2232.6153846153848,27.0,41511.0,574.0,35.0,469.0,27.064200915861875
6404,2.2519083969465647,1.32,48.0,6.0,11.748359414479141,282931.0,0.0353443065623774,0.7041373832675459,2250.423076923077,8.0,42107.0,590.0,33.0,386.0,27.44403516710736
6405,2.4233009708737865,1.3623188405797102,42.0,7.0,11.575958325813547,287145.0,0.0348256107541486,0.6960202657167613,2224.480769230769,51.0,40921.0,624.0,47.0,593.0,27.075420833192766
6406,2.096033402922756,1.4444444444444444,35.0,5.0,11.333108792593041,293298.0,0.0340950159905625,0.6803576586117261,2174.423076923077,6.0,39943.0,502.0,26.0,344.0,27.391686749877408
6407,2.3229813664596275,1.2173913043478262,50.0,6.0,11.379086466261539,292113.0,0.03423332751366766,0.6843951574082988,2187.326923076923,223.0,40369.0,561.0,28.0,312.0,27.535330125130713
6408,2.5291005291005293,1.358974358974359,88.0,8.0,11.776740287450659,282249.0,0.03542970922837636,0.7089571098488495,2265.826923076923,16.0,42064.0,717.0,53.0,525.0,28.441907625179738
6409,2.3422222222222224,1.4782608695652173,60.0,10.0,11.605367859156502,286417.0,0.03491412870046121,0.6980360065466449,2230.923076923077,63.0,41942.0,527.0,34.0,280.0,27.44143308303319
