rider_1,rider_2,coattendance_count,tie_strength
R002750,R003259,3,0.995781502897027
R008107,R009739,3,1.176616971047286
R001913,R007095,3,0.9594275358468314
R002195,R004789,3,2.4279266812890623
R001500,R009159,4,1.5948695406080509
R006822,R008051,3,0.982992909666716
R003831,R006081,3,1.092602533572925
R002818,R006292,4,1.232317213092192
R000471,R007347,3,2.0452018852553318
R002056,R004803,4,2.0487199033228394
R003166,R003255,3,0.6143323684545411
R001533,R003653,5,2.3220314185880127
R002582,R003611,4,2.177632595461904
R001069,R003991,3,1.8823632063293254
R006503,R006817,3,1.5733369366378593
R000064,R004252,3,0.31013108656507143
R000924,R007193,3,1.4558397540569268
R001533,R002750,5,1.4075923268703723
R002748,R004386,3,1.3150867508516497
R001588,R008897,3,0.9073177197074238
R002337,R003480,4,2.935887156565103
R006477,R006817,3,0.7128980711626064
R003480,R005627,3,1.2061526848000501
R000384,R004196,3,1.0789885400832224
R000914,R002065,3,0.5647802891088334
R004942,R006501,3,0.6173292010210797
R003584,R003611,6,2.176200643974038
R000703,R002077,3,1.7078971191774748
R002488,R009883,5,1.40501288047473
R004614,R006071,3,0.8905562087775816
R002154,R009901,4,1.7526092508643714
R006081,R009250,3,0.8771383577822639
R001533,R004005,3,0.8048463047356444
R000402,R004471,3,0.5780133274602375
R004875,R009889,3,0.6736959095454589
R000471,R007434,4,0.6501587755009616
R006508,R007434,5,1.6341488720416875
R000778,R004134,4,1.4976716378403447
R003380,R004598,3,0.4868964405045297
R001069,R005425,3,0.27433753814719114
R004163,R004532,3,1.0089808501941966
R004313,R008079,3,1.3587921909773457
R004184,R004812,3,1.0182753153651083
R003123,R008388,3,1.6156853900920638
R000843,R005267,3,1.9072228616469202
R004768,R009656,3,0.9663680609521796
R003115,R006671,3,1.3245003331432195
R001317,R002232,3,2.032593559276765
R006058,R007942,4,1.1629647360987339
R006909,R009334,3,1.0069758463105956
R001913,R005610,3,0.647905511093419
R003166,R009923,3,2.0648503397424545
R001634,R003531,4,1.4867688203200198
R002471,R008107,3,0.6319178113073776
R006383,R008588,3,1.0580778680617142
R000828,R007662,4,1.4537131500210518
R000813,R005776,3,1.046470692600011
R008465,R009847,3,0.5207512229153611
R005124,R005878,5,1.1602797063779717
R002748,R005131,4,1.3860127552833026
R001913,R005988,4,0.8125834727605226
R003844,R008540,3,0.45397844597395803
R004458,R006703,3,0.8796424349254797
R003718,R008839,4,0.5256618009552604
R000261,R007662,3,1.3965144923192208
R001132,R008997,4,0.7605258084513897
R001588,R008549,4,1.831878182461803
R002044,R006817,3,0.7022649854432964
R000076,R006947,3,0.5619055336474977
R000574,R009995,4,2.105318659992235
R003004,R006117,3,0.9762291119527632
R000064,R004295,4,1.2495532332787775
R004907,R008417,3,0.5680279228388176
R000471,R000668,3,1.0070871876398164
R006157,R007384,3,1.1842130760685883
R003157,R008603,4,1.7818331750423404
R005514,R009349,4,1.0721506185064913
R003255,R009923,3,0.7311506823299132
R003255,R009432,3,1.778186972917969
R002056,R005827,4,1.2387015981088436
R000668,R006703,5,2.45028123742771
R003399,R004037,5,2.751973631967517
R004590,R007099,3,0.45819310572534255
R003603,R007741,3,0.8389227173965633
R002056,R008820,3,1.5214701712618235
R000223,R007724,3,0.5679084958503684
R002851,R003594,3,0.5984541300925321
R003611,R006662,33,14.53978096526209
R006947,R008296,3,0.6366229340001299
R003844,R006299,3,1.2375433637478974
R007379,R008051,3,1.4464538946260388
R006503,R008562,24,11.569540281460348
R001055,R004471,3,0.5456140079202602
R004875,R006091,4,0.7999750318680037
R005986,R006091,15,8.895631312175734
R003480,R009495,3,0.9064572364115974
R001500,R003102,4,1.477765407657842
R000703,R003568,3,1.5198745938393263
R001809,R004875,3,1.8302560088919886
R006699,R006863,3,1.1620997223416476
R000238,R003166,3,0.4239758192378869
R005184,R008717,3,0.769417910186605
R000855,R004424,3,1.147494439156819
R003255,R005548,3,0.38434179355047526
R004037,R009842,3,0.6900971380048404
