scenario,seed,week,network_type,nodes,edges,connected_nodes,isolates,components,density_full_population,average_degree_full_population,mean_degree_population,mean_degree_connected_subgraph,average_clustering,transitivity,degree_assortativity,gcc_nodes,gcc_edges,gcc_share_of_connected_nodes,gcc_diameter,gcc_radius,gcc_average_shortest_path,gcc_clustering,gcc_transitivity,market_assortativity,cluster_assortativity,same_cluster_edge_share
baseline,6400,1,familiarity,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6400,1,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6400,4,familiarity,2,1,2,0,1,1.0,1.0,1.0,1.0,0.0,0.0,,2,1,1.0,1.0,1.0,1.0,0.0,0.0,,,1.0
baseline,6400,4,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6400,8,familiarity,18,9,18,0,9,0.058823529411764705,1.0,1.0,1.0,0.0,0.0,,2,1,0.1111111111111111,1.0,1.0,1.0,0.0,0.0,0.9999999999999994,1.0,1.0
baseline,6400,8,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6400,13,familiarity,63,39,63,0,24,0.019969278033794162,1.2380952380952381,1.2380952380952381,1.2380952380952381,0.0,0.0,-0.4111842105263171,4,3,0.06349206349206349,2.0,1.0,1.5,0.0,0.0,1.0000000000000002,0.9446022727272727,0.9487179487179487
baseline,6400,13,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6400,26,familiarity,182,150,182,0,44,0.00910691518426325,1.6483516483516483,1.6483516483516483,1.6483516483516483,0.04400837257980115,0.12442396313364056,-0.12832199585339502,12,13,0.06593406593406594,5.0,3.0,2.696969696969697,0.15555555555555556,0.2222222222222222,1.0,0.9363612793739836,0.94
baseline,6400,26,social,14,7,14,0,7,0.07692307692307693,1.0,1.0,1.0,0.0,0.0,,2,1,0.14285714285714285,1.0,1.0,1.0,0.0,0.0,1.0000000000000002,1.0000000000000002,1.0
baseline,6400,39,familiarity,364,350,364,0,61,0.005297732570459843,1.9230769230769231,1.9230769230769231,1.9230769230769231,0.062207237207237205,0.10776361529548088,-0.20151389800207323,38,43,0.1043956043956044,10.0,5.0,4.327169274537695,0.05651629072681704,0.05357142857142857,0.9999999999999999,0.9399087471403001,0.9428571428571428
baseline,6400,39,social,32,19,32,0,13,0.038306451612903226,1.1875,1.1875,1.1875,0.0,0.0,-0.21276595744680946,4,3,0.125,3.0,2.0,1.6666666666666667,0.0,0.0,1.0,0.9999999999999998,1.0
baseline,6400,52,familiarity,522,612,522,0,43,0.004500628764312661,2.3448275862068964,2.3448275862068964,2.3448275862068964,0.10192752399479918,0.13695090439276486,-0.24725365686378814,60,82,0.11494252873563218,8.0,4.0,3.635593220338983,0.1317002442002442,0.13636363636363635,1.0,0.9176840801526611,0.9215686274509803
baseline,6400,52,social,61,39,61,0,23,0.021311475409836064,1.278688524590164,1.278688524590164,1.278688524590164,0.04918032786885246,0.13636363636363635,-0.12360594795538982,7,6,0.11475409836065574,4.0,2.0,2.1904761904761907,0.0,0.0,1.0,0.9999999999999999,1.0
baseline,6401,1,familiarity,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6401,1,social,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,,,,0.0,0.0,,,
baseline,6401,4,familiarity,4,2,4,0,2,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,,2,1,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
