model,parameterization,seed,replicate,degree_ks_distance_from_observed,nodes,edges,connected_nodes,isolates,components,density_full_population,average_degree_full_population,mean_degree_population,mean_degree_connected_subgraph,average_clustering,transitivity,degree_assortativity,gcc_nodes,gcc_edges,gcc_share_of_connected_nodes,gcc_diameter,gcc_radius,gcc_average_shortest_path,gcc_clustering,gcc_transitivity
observed,,6400,,0.0,522,612,522,0,43,0.004500628764312661,2.3448275862068964,2.3448275862068964,2.3448275862068964,0.10192752399479918,0.13695090439276486,-0.24725365686378814,60,82,0.11494252873563218,8,4,3.635593220338983,0.1317002442002442,0.13636363636363635
erdos_renyi,matched_m,6400,0.0,0.2222222222222222,522,601,473,49,57,0.004419735110052139,2.3026819923371646,2.3026819923371646,2.54122621564482,0.007731253420908593,0.011005135730007337,0.024569062010298296,459,594,0.9704016913319239,16,9,7.086993749464852,0.00879240585122938,0.011005135730007337
preferential_attachment,alpha=1.0;m_links=1,6400,0.0,0.14367816091954022,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.13621601289029386,522,521,1.0,16,8,6.131275692927688,0.0,0.0
attractiveness,A=1.0;m_links=1,6400,0.0,0.05938697318007663,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.12814840246965736,522,521,1.0,21,11,8.339003243100139,0.0,0.0
fitness,uniform;m_links=1,6400,0.0,0.16283524904214558,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.24287000153711308,522,521,1.0,16,8,7.0639795265515035,0.0,0.0
erdos_renyi,matched_m,6400,1.0,0.23946360153256704,522,632,480,42,51,0.004647708135695428,2.421455938697318,2.421455938697318,2.6333333333333333,0.0,0.0,-0.03968287768294283,460,620,0.9583333333333334,15,9,6.645780051150895,0.0,0.0
preferential_attachment,alpha=1.0;m_links=1,6400,1.0,0.14367816091954022,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.18026593654541917,522,521,1.0,14,7,6.15823534170215,0.0,0.0
attractiveness,A=1.0;m_links=1,6400,1.0,0.08045977011494253,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.04687987332931507,522,521,1.0,15,8,6.965737860436384,0.0,0.0
fitness,uniform;m_links=1,6400,1.0,0.19348659003831417,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.2578624257652728,522,521,1.0,14,7,5.711342025724182,0.0,0.0
erdos_renyi,matched_m,6400,2.0,0.2471264367816092,522,617,476,46,55,0.004537398607158353,2.363984674329502,2.363984674329502,2.592436974789916,0.0010490786352855318,0.0021291696238466998,-0.013487764558086491,458,607,0.9621848739495799,17,9,6.99239391130689,0.0011956747764608026,0.0021321961620469083
preferential_attachment,alpha=1.0;m_links=1,6400,2.0,0.11494252873563218,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.1892376502025119,522,521,1.0,16,8,6.726564740662298,0.0,0.0
attractiveness,A=1.0;m_links=1,6400,2.0,0.08045977011494253,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.13663766131372077,522,521,1.0,19,10,8.298563769938447,0.0,0.0
fitness,uniform;m_links=1,6400,2.0,0.1685823754789272,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.20158211201275722,522,521,1.0,15,8,5.684330899169737,0.0,0.0
erdos_renyi,matched_m,6400,3.0,0.1839080459770115,522,559,463,59,71,0.0041108684301483294,2.1417624521072796,2.1417624521072796,2.414686825053996,0.012260536398467432,0.012510425354462052,-0.013155468044087638,435,542,0.9395248380129589,23,12,7.737899253138408,0.014712643678160919,0.012583892617449664
preferential_attachment,alpha=1.0;m_links=1,6400,3.0,0.13793103448275862,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.22053630571410024,522,521,1.0,14,7,6.495230951382914,0.0,0.0
attractiveness,A=1.0;m_links=1,6400,3.0,0.07662835249042145,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.09752451250579496,522,521,1.0,18,9,7.726836837499357,0.0,0.0
fitness,uniform;m_links=1,6400,3.0,0.14559386973180077,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.1535054497756306,522,521,1.0,14,7,5.66680639206948,0.0,0.0
erdos_renyi,matched_m,6400,4.0,0.26053639846743293,522,653,485,37,46,0.004802141475647333,2.5019157088122603,2.5019157088122603,2.6927835051546394,0.009542054369640576,0.009316770186335404,-0.03936182725104461,468,644,0.9649484536082474,14,9,6.626082102527499,0.010643060643060644,0.009322560596643879
preferential_attachment,alpha=1.0;m_links=1,6400,4.0,0.08812260536398467,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.1149445723486869,522,521,1.0,17,9,6.434082702730529,0.0,0.0
attractiveness,A=1.0;m_links=1,6400,4.0,0.06896551724137931,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.1317245109104588,522,521,1.0,19,10,8.304652855913695,0.0,0.0
fitness,uniform;m_links=1,6400,4.0,0.17049808429118773,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.1827553199517924,522,521,1.0,14,7,5.3787514432163315,0.0,0.0
erdos_renyi,matched_m,6400,5.0,0.25287356321839083,522,643,479,43,56,0.004728601789955949,2.4636015325670497,2.4636015325670497,2.684759916492693,0.0010749255002128566,0.003787878787878788,-0.023194618607407857,451,627,0.941544885177453,14,9,6.3968760778516875,0.0012441488051244149,0.0037974683544303796
preferential_attachment,alpha=1.0;m_links=1,6400,5.0,0.09961685823754789,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.14968863911491942,522,521,1.0,18,9,7.03362969826667,0.0,0.0
attractiveness,A=1.0;m_links=1,6400,5.0,0.07662835249042145,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.06414985083798916,522,521,1.0,16,8,7.200888359403152,0.0,0.0
fitness,uniform;m_links=1,6400,5.0,0.13026819923371646,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.20167084798923793,522,521,1.0,15,8,5.88119663776557,0.0,0.0
erdos_renyi,matched_m,6400,6.0,0.26053639846743293,522,653,480,42,46,0.004802141475647333,2.5019157088122603,2.5019157088122603,2.720833333333333,0.00140485312899106,0.0018598884066955983,0.021767887094122303,473,649,0.9854166666666667,15,8,6.545185795678504,0.0015503875968992248,0.0018610421836228288
preferential_attachment,alpha=1.0;m_links=1,6400,6.0,0.12643678160919541,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.16837480674726255,522,521,1.0,17,9,5.874636897801899,0.0,0.0
attractiveness,A=1.0;m_links=1,6400,6.0,0.06704980842911877,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.06605126069565281,522,521,1.0,17,9,7.477816753811195,0.0,0.0
fitness,uniform;m_links=1,6400,6.0,0.18582375478927204,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.2124226371476963,522,521,1.0,13,7,5.40898360800406,0.0,0.0
erdos_renyi,matched_m,6400,7.0,0.210727969348659,522,585,462,60,68,0.004302071612945926,2.2413793103448274,2.2413793103448274,2.5324675324675323,0.003128991060025543,0.004524886877828055,-0.08506814437621701,446,576,0.9653679653679653,16,10,7.135718244570968,0.0036621823617339314,0.004531722054380665
preferential_attachment,alpha=1.0;m_links=1,6400,7.0,0.10727969348659004,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.17097747449548506,522,521,1.0,16,8,6.504945543862745,0.0,0.0
attractiveness,A=1.0;m_links=1,6400,7.0,0.06513409961685823,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.15246173335168073,522,521,1.0,16,8,7.693023290018458,0.0,0.0
fitness,uniform;m_links=1,6400,7.0,0.13409961685823754,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.14286728350347294,522,521,1.0,17,9,6.459608327634007,0.0,0.0
erdos_renyi,matched_m,6400,8.0,0.18582375478927204,522,585,472,50,58,0.004302071612945926,2.2413793103448274,2.2413793103448274,2.4788135593220337,0.003895274584929757,0.006875477463712758,-0.018369918082921047,457,577,0.9682203389830508,18,10,7.394746439402664,0.004449307075127644,0.006880733944954129
preferential_attachment,alpha=1.0;m_links=1,6400,8.0,0.10919540229885058,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.16261375110378,522,521,1.0,14,7,6.407078930144652,0.0,0.0
attractiveness,A=1.0;m_links=1,6400,8.0,0.07279693486590039,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.15571913627585252,522,521,1.0,23,12,8.7001860554048,0.0,0.0
fitness,uniform;m_links=1,6400,8.0,0.16475095785440613,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.20025672059708194,522,521,1.0,15,8,5.828858443459013,0.0,0.0
erdos_renyi,matched_m,6400,9.0,0.22796934865900384,522,642,480,42,50,0.0047212478213868115,2.4597701149425286,2.4597701149425286,2.675,0.004597701149425287,0.007594936708860759,0.04763538605612463,460,629,0.9583333333333334,17,9,6.720289855072464,0.005217391304347826,0.0076384468491406746
preferential_attachment,alpha=1.0;m_links=1,6400,9.0,0.12835249042145594,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.17956668470197096,522,521,1.0,14,7,6.021054412013443,0.0,0.0
attractiveness,A=1.0;m_links=1,6400,9.0,0.06321839080459771,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.14691466002450418,522,521,1.0,20,10,8.450408512954017,0.0,0.0
fitness,uniform;m_links=1,6400,9.0,0.14559386973180077,522,521,522,0,1,0.0038314176245210726,1.996168582375479,1.996168582375479,1.996168582375479,0.0,0.0,-0.23794064116518698,522,521,1.0,16,8,7.318206219986616,0.0,0.0
