metric,observed,null,null_model
nodes,522.0,16.0,global_shuffle
edges,612.0,8.0,global_shuffle
density,0.004500628764312661,0.06666666666666667,global_shuffle
mean_degree,2.3448275862068964,1.0,global_shuffle
median_degree,1.0,1.0,global_shuffle
clustering,0.10192752399479918,0.0,global_shuffle
components,43.0,8.0,global_shuffle
largest_component,60.0,2.0,global_shuffle
modularity,0.9393102012046649,0.875,global_shuffle
assortativity_cluster,0.9176840801526612,-0.14285714285714285,global_shuffle
assortativity_market,1.0,-0.06666666666666667,global_shuffle
same_cluster_edge_share,0.9215686274509803,0.0,global_shuffle
isolates,0.0,0.0,global_shuffle
nodes,522.0,352.0,market_shuffle
edges,612.0,424.0,market_shuffle
density,0.004500628764312661,0.006863506863506863,market_shuffle
mean_degree,2.3448275862068964,2.409090909090909,market_shuffle
median_degree,1.0,1.0,market_shuffle
clustering,0.10192752399479918,0.12296536601767216,market_shuffle
components,43.0,41.0,market_shuffle
largest_component,60.0,36.0,market_shuffle
modularity,0.9393102012046649,0.9217136881452475,market_shuffle
assortativity_cluster,0.9176840801526612,0.7886867680039868,market_shuffle
assortativity_market,1.0,1.0,market_shuffle
same_cluster_edge_share,0.9215686274509803,0.8042452830188679,market_shuffle
isolates,0.0,0.0,market_shuffle
