rider_id,home_market,home_cluster,baseline_annual_ride_rate,total_attendance,unique_studios,unique_instructors,familiarity_degree,social_degree,coordination_count,coattendance_degree
R000001,Greater NYC,Fairfield County,7.75438282182807,10,3,8,0,0,0,8
R000002,Greater NYC,Nassau County,58.31974242042381,62,1,15,3,1,3,33
R000003,Northern California,Silicon Valley,10.306312876148407,9,2,8,0,0,0,9
R000004,Greater NYC,Uptown Manhattan,6.023157339166168,7,3,7,0,0,0,6
R000005,Southern California,Los Angeles,10.173878017310049,10,2,6,0,0,0,5
R000006,DMV,DC–Arlington,16.534138311656072,17,3,10,0,0,0,15
R000007,Greater NYC,Uptown Manhattan,2.041167671922094,0,0,0,0,0,0,0
R000008,Chicago,Chicago,9.760328616405475,8,2,4,0,0,0,4
R000009,South Florida,Miami,1.0,1,1,1,0,0,0,1
R000010,Greater NYC,Nassau County,12.685891047259684,13,2,10,0,0,0,11
R000011,Greater NYC,Midtown Manhattan,33.30662197960081,28,4,19,1,0,0,22
R000012,Greater NYC,Lower Manhattan–North Brooklyn,1.6284360829547784,0,0,0,0,0,0,0
R000013,Greater NYC,Midtown Manhattan,1.0447730277271652,4,3,4,0,0,0,4
R000014,Southern California,Los Angeles,11.643104811985152,11,3,8,0,0,0,8
R000015,Northern California,Silicon Valley,1.0,1,1,1,0,0,0,1
R000016,Greater NYC,Lower Manhattan–North Brooklyn,4.494474879839204,6,4,6,0,0,0,5
R000017,Greater NYC,Lower Manhattan–North Brooklyn,1.2098942268038446,2,1,2,0,0,0,2
R000018,Greater NYC,Lower Manhattan–North Brooklyn,7.381130574772787,7,7,7,0,0,0,6
R000019,Dallas,Dallas,4.893002481211042,5,1,3,0,0,0,5
R000020,Greater NYC,Midtown Manhattan,10.761858617927349,8,4,8,0,0,0,7
R000021,Greater NYC,Lower Manhattan–North Brooklyn,26.87833056353194,28,8,25,0,0,0,20
R000022,DMV,DC–Arlington,2.924505880346281,2,2,2,0,0,0,2
R000023,Boston,Boston,26.356538358500348,32,3,11,0,0,0,23
R000024,Greater NYC,Midtown Manhattan,38.30570185607208,50,5,25,0,0,0,37
R000025,Ann Arbor,Ann Arbor,23.985873743576263,25,1,2,0,0,0,13
R000026,Greater NYC,Fairfield County,1.7974327815554774,2,2,2,0,0,0,2
R000027,Houston,Houston,10.89316030511436,10,1,6,0,0,0,8
R000028,Greater NYC,Lower Manhattan–North Brooklyn,1.1275538051297722,2,2,2,0,0,0,2
R000029,Boston,Boston,9.067115129535724,15,2,9,0,0,0,11
R000030,Dallas,Dallas,1.0,1,1,1,0,0,0,0
R000031,Greater NYC,Uptown Manhattan,1.0,1,1,1,0,0,0,1
R000032,Northern California,Silicon Valley,1.9775166425718271,2,2,2,0,0,0,1
R000033,Atlanta,Atlanta,6.168881682919913,3,1,2,0,0,0,3
R000034,DMV,DC–Arlington,1.0,0,0,0,0,0,0,0
R000035,Philadelphia,Main Line,3.132792499617919,0,0,0,0,0,0,0
R000036,Southern California,Los Angeles,19.564680804788175,24,4,13,0,0,0,18
R000037,Greater NYC,Uptown Manhattan,4.128701200805026,2,2,2,0,0,0,2
R000038,Greater NYC,Lower Manhattan–North Brooklyn,30.637767693187573,25,6,15,0,0,0,22
R000039,Austin,Austin,10.47334178505153,12,1,7,0,0,0,9
R000040,Greater NYC,Midtown Manhattan,2.4148218181179444,2,2,2,0,0,0,2
R000041,Greater NYC,Lower Manhattan–North Brooklyn,12.346298689490045,13,5,13,0,0,0,10
R000042,Greater NYC,Lower Manhattan–North Brooklyn,4.799796155736655,7,3,7,0,0,0,4
R000043,Boston,Chestnut Hill,13.490067091377597,18,2,8,0,0,0,14
R000044,Southern California,Los Angeles,2.221455726016827,0,0,0,0,0,0,0
