rider_1,rider_2,coattendance_count,tie_strength
R000867,R004295,21,9.758726137623048
R003584,R003611,6,2.176200643974038
R002354,R007178,6,2.6473981341416297
R000703,R005350,18,8.933965892601366
R000277,R000778,21,10.581442476018712
R000703,R006662,23,10.633673549641243
R003380,R005366,11,5.608162264579407
R004471,R007942,7,3.3675855159771886
R005160,R006909,15,5.711388769781001
R004605,R006909,21,12.232755103819837
R000277,R009928,11,4.6674388383868175
R000527,R002415,13,7.12761862463919
R003480,R006507,7,3.446892211326565
R000886,R004295,30,13.748937821037707
R002750,R009901,9,5.298632398791073
R006091,R008079,34,15.486874950847078
R000668,R006508,6,2.820860959068156
R003930,R005986,10,5.605171178992399
R002769,R004230,8,3.595288779201301
R001533,R006081,23,13.2771909586056
R006477,R006503,8,3.6355365061535494
R004875,R005986,6,3.143157945390588
R000968,R005366,15,7.247433981572046
R001798,R008388,14,8.053948721865366
R000301,R005492,13,8.009697813542894
R001160,R006058,15,8.729021684082722
R000002,R007741,9,5.235910158643381
R004590,R006058,8,4.077526850764077
R005359,R006909,12,5.256880267279403
R000968,R003380,8,3.8643104168489817
R003611,R006662,33,14.53978096526209
R000724,R004134,31,13.138498378877465
R003166,R005510,23,10.516171087577312
R002262,R003611,8,4.761652626000166
R006503,R008562,24,11.569540281460348
R005986,R006091,15,8.895631312175734
R001069,R006959,27,14.100554303483051
R003611,R008226,15,8.242962895850802
R006947,R008698,32,15.456766205245518
